Number of clusters,Renyi entropy
100,3.3731235167074076
99,3.363457893652903
98,3.3537258417438935
97,3.343925413354235
96,3.334038773322987
95,3.3240954656292026
94,3.3140775404560125
93,3.3039986179136274
92,3.293919847372443
91,3.283823146438248
90,3.273690365839938
89,3.2634714751049
88,3.253163908379689
87,3.242780922592938
86,3.232463166937539
85,3.2220966786835032
84,3.2117266062336824
83,3.201238426485786
82,3.19067696222373
81,3.180135331154359
80,3.1695626378437805
79,3.158907488499854
78,3.1482310073923276
77,3.1374169712147886
76,3.1264775786773775
75,3.115473732078162
74,3.104320397675062
73,3.0931271272147973
72,3.08184111447892
71,3.0704089160163233
70,3.0590715239779285
69,3.047628581318012
68,3.036058694792536
67,3.024340125861295
66,3.0126661805878623
65,3.00086649119767
64,2.9889018768267657
63,2.9769335027335475
62,2.964838661764924
61,2.952712150880251
60,2.9403790976296285
59,2.9277974316810225
58,2.9149927170226215
57,2.9019390199830957
56,2.8886096172491116
55,2.875011753492597
54,2.861464685299648
53,2.8476825057361146
52,2.8343027159584664
51,2.8213770103897775
50,2.8085160782859804
49,2.7953741901482214
48,2.781937686649045
47,2.768228455870342
46,2.7544508946657422
45,2.741200866672177
44,2.727721904074556
43,2.7141859638725117
42,2.70027947527245
41,2.6862297647244557
40,2.671906158518815
39,2.6587280751063203
38,2.6452079181990023
37,2.6316410690278436
36,2.6197324497080303
35,2.608353794467456
34,2.5970415796712607
33,2.5854085743152715
32,2.5733401193951515
31,2.5608681641814015
30,2.548452872576596
29,2.5355123524517738
28,2.5221647137302248
27,2.5084189811629685
26,2.4939873579881615
25,2.479679581223268
24,2.465254810802386
23,2.450737121191214
22,2.4361560687882116
21,2.4226525359654776
20,2.4082995875001534
19,2.3928404826434178
18,2.3775595461718257
17,2.363565553819812
16,2.3509094639230894
15,2.338469876243046
14,2.3263197304979824
13,2.319608314914875
12,2.314247608307618
11,2.3135143182164404
10,2.3159985212922023
9,2.3306859062570644
8,2.352135807352782
7,2.384585622343073
6,2.453267256997177
5,2.579798778032211
4,2.804525032695851
3,3.289663907246578
2,4.979714231182671
