Number of clusters,Renyi entropy
100,3.7755666254065074
99,3.754954968542399
98,3.7349456690074225
97,3.7152936205244895
96,3.6958686350245986
95,3.668806296579842
94,3.649686712087014
93,3.6306282847269324
92,3.6116046979144665
91,3.592595683502035
90,3.573585029686861
89,3.554559334818916
88,3.528166783644921
87,3.5055215323851394
86,3.4864885681534994
85,3.467403748476802
84,3.4482516844682793
83,3.444482054291515
82,3.4406822567237367
81,3.4368566769007174
80,3.433010915733882
79,3.4291521446820186
78,3.4252895936586136
77,3.4214352367044976
76,3.4176047800186535
75,3.41381912798919
74,3.401059113804714
73,3.379253171593499
72,3.3507011026909916
71,3.3236847429494603
70,3.2945102648869486
69,3.272536082822078
68,3.251158964318203
67,3.2296436925597236
66,3.2072740361949212
65,3.1798668477015
64,3.1516943940052773
63,3.128898964293928
62,3.1065947102799703
61,3.0834077287317814
60,3.060008719681069
59,3.031745350223958
58,3.008603102237856
57,2.999129106577052
56,2.9820545925485376
55,2.9586412088347283
54,2.9349295035691587
53,2.9102571715255667
52,2.885263397055537
51,2.8605802571133165
50,2.8361803410257167
49,2.8056263820888323
48,2.7791865395002326
47,2.7523346776528905
46,2.720031711478463
45,2.7061790645606787
44,2.6874568051137455
43,2.6721149311516066
42,2.656983300354599
41,2.6348089996419835
40,2.6180305789691394
39,2.6014044886984493
38,2.585579979729186
37,2.5534370721548583
36,2.521207697756828
35,2.486239107908894
34,2.4517298185350214
33,2.4176097364156837
32,2.392532470414327
31,2.3678106619697723
30,2.3437544022273076
29,2.3375447511848324
28,2.3116050788130926
27,2.2845671671281504
26,2.2556276946687435
25,2.2267727978673917
24,2.197225439741323
23,2.1661695661684517
22,2.1356405152904285
21,2.1004224578863933
20,2.078911502521701
19,2.0589383352523933
18,2.0333254089119963
17,2.011386480371318
16,1.9646312624917028
15,1.9168929346532202
14,1.8731949422574365
13,1.8173545940929738
12,1.7598217465249213
11,1.7010425364274784
10,1.6343665575942654
9,1.5589082661388292
8,1.4880540795295725
7,1.4255068315971153
6,1.4153554310201257
5,1.3357648343156887
4,1.414452429857291
3,1.6299836365234381
2,2.267373229405958
